,Country,Year,AnnualCO2EmissionsperCapitainTons,overallreadiness,socialreadiness,economicreadiness,governmentreadiness,ecosystemvulnerability,exposure,foodvulnerability,habitatvulnerability,healthvulnerability,watervulnerability,overallvulnerability,renewablenergyconsumaspercoffinalconsumption,nonrenewablenergyconsumaspercoffinalconsumption
0,Brunei Darussalam,1996,15.5647,-0.183636407,0.17891274,0.522558853,0.691582086,0.397735199,0.404784518,0.433277475,0.624293798,0.396556382,0.285724391,0.112335357,0,1
1,Brunei Darussalam,1997,15.8088,-0.184033679,0.179690901,0.522558853,0.669696138,0.396842096,0.404784518,0.432365011,0.623022754,0.375110563,0.285724391,0.103757735,0,1
2,Brunei Darussalam,1998,16.1653,-0.185637333,0.181169925,0.522558853,0.647810191,0.397471636,0.404784518,0.439432986,0.621513604,0.353664744,0.285867341,0.097722154,0,1
3,Brunei Darussalam,1999,11.6587,-0.188088219,0.189580559,0.522558853,0.652525063,0.398021573,0.404784518,0.439737469,0.61976854,0.332218926,0.286010291,0.098640546,0,1
4,Brunei Darussalam,2000,13.7799,-0.193579624,0.195575476,0.522558853,0.657239936,0.398571509,0.404784518,0.440049137,0.617344736,0.310773107,0.286153241,0.10095901,0,1
5,Brunei Darussalam,2001,12.9088,-0.199402308,0.208590655,0.522558853,0.654014405,0.399268063,0.404784518,0.440781875,0.59794776,0.285690501,0.28629619,0.099951784,0,1
6,Brunei Darussalam,2002,12.267,-0.211280186,0.209929919,0.522558853,0.650788873,0.399964617,0.404784518,0.428108412,0.578086339,0.260607894,0.28643914,0.098096041,0,1
7,Brunei Darussalam,2003,12.6528,-0.218367413,0.216297506,0.522558853,0.652239665,0.40066117,0.404784518,0.438629044,0.558261788,0.267195203,0.28653539,0.1043303,0,1
8,Brunei Darussalam,2004,13.5578,-0.214637972,0.229599554,0.522558853,0.665140995,0.401357724,0.404784518,0.438870205,0.538579408,0.273782511,0.286631639,0.105703704,0,1
9,Brunei Darussalam,2005,13.3369,-0.209971586,0.236980952,0.586290286,0.62806884,0.402054278,0.404784518,0.442935515,0.538629115,0.275515121,0.286727888,0.111327373,0,1
10,Brunei Darussalam,2006,12.7951,-0.163209789,0.241307702,0.798004422,0.617333149,0.402054278,0.404784518,0.433947391,0.539105254,0.279012114,0.286824138,0.125165983,0,1
11,Brunei Darussalam,2007,22.1618,-0.27643379,0.245320626,0.45578024,0.633568071,0.402054278,0.404784518,0.432801348,0.53496314,0.284154874,0.286920387,0.129145792,0,1
