,Country,Year,rengcon,nonrengcon
0,Brunei Darussalam,1996,0.0,1.0
1,Brunei Darussalam,1997,0.0,1.0
2,Brunei Darussalam,1998,0.0,1.0
3,Brunei Darussalam,1999,0.0,1.0
4,Brunei Darussalam,2000,0.0,1.0
5,Brunei Darussalam,2001,0.0,1.0
6,Brunei Darussalam,2002,0.0,1.0
7,Brunei Darussalam,2003,0.0,1.0
8,Brunei Darussalam,2004,0.0,1.0
9,Brunei Darussalam,2005,0.0,1.0
10,Brunei Darussalam,2006,0.0,1.0
11,Brunei Darussalam,2007,0.0,1.0
12,Brunei Darussalam,2008,0.0,1.0
13,Brunei Darussalam,2009,0.0,1.0
14,Brunei Darussalam,2010,0.0,1.0
15,Brunei Darussalam,2011,0.0001579999899999,0.999842
16,Brunei Darussalam,2012,0.000148,0.999852
17,Brunei Darussalam,2013,0.000135,0.999865
18,Brunei Darussalam,2014,0.00014,0.99986
19,Brunei Darussalam,2015,0.000149,0.999851
20,Brunei Darussalam,2016,7.400000000000001e-05,0.999926
21,Brunei Darussalam,2017,0.0001089999999999,0.999891
22,Brunei Darussalam,2018,0.0001089999999999,0.999891
23,Brunei Darussalam,2019,0.0001089999999999,0.999891
24,Cambodia,1996,0.8276628823,0.1723371177
25,Cambodia,1997,0.82196256,0.17803744
26,Cambodia,1998,0.8200027446,0.1799972554
27,Cambodia,1999,0.8167488982000001,0.1832511017999999
28,Cambodia,2000,0.8113880157,0.1886119843
29,Cambodia,2001,0.7959079742,0.2040920258
30,Cambodia,2002,0.830223999,0.169776001
31,Cambodia,2003,0.8207070160000001,0.179292984
32,Cambodia,2004,0.7821009827000001,0.2178990173
33,Cambodia,2005,0.7607360076999999,0.2392639923
34,Cambodia,2006,0.7385929871000001,0.2614070129
35,Cambodia,2007,0.6936959839,0.3063040161
36,Cambodia,2008,0.6800330352999999,0.3199669647
37,Cambodia,2009,0.7132559967000001,0.2867440033
38,Cambodia,2010,0.6852230072000001,0.3147769928
39,Cambodia,2011,0.6816560364,0.3183439636
40,Cambodia,2012,0.6826699829,0.3173300171
41,Cambodia,2013,0.6897290039,0.3102709961
42,Cambodia,2014,0.6801229858000001,0.3198770142
43,Cambodia,2015,0.6492199707,0.3507800292999999
44,Cambodia,2016,0.6268590164,0.3731409836
45,Cambodia,2017,0.6146900177,0.3853099823
46,Cambodia,2018,0.6183769989000001,0.3816230010999999
47,Cambodia,2019,0.6220860950359478,0.3779713001444618
48,Indonesia,1996,0.4875037996999999,0.5124962003
49,Indonesia,1997,0.4708737494,0.5291262506000001
50,Indonesia,1998,0.4829961688,0.5170038311999999
51,Indonesia,1999,0.4507867761,0.5492132239
52,Indonesia,2000,0.4562469864,0.5437530136000001
53,Indonesia,2001,0.4432899857,0.5567100143
54,Indonesia,2002,0.4465760039999999,0.553423996
55,Indonesia,2003,0.43,0.57
56,Indonesia,2004,0.4145510101,0.5854489899
57,Indonesia,2005,0.4157320022999999,0.5842679977
58,Indonesia,2006,0.4006539917,0.5993460083
59,Indonesia,2007,0.4001380156999999,0.5998619843
60,Indonesia,2008,0.4112210083,0.5887789917
61,Indonesia,2009,0.381792984,0.6182070159999999
62,Indonesia,2010,0.3481129837,0.6518870163
63,Indonesia,2011,0.3091900063,0.6908099937
64,Indonesia,2012,0.2878479958,0.7121520042
65,Indonesia,2013,0.2970249939,0.7029750061
66,Indonesia,2014,0.2831889915,0.7168110085000001
67,Indonesia,2015,0.2695190048,0.7304809952
68,Indonesia,2016,0.2783480072,0.7216519927999999
69,Indonesia,2017,0.2543280029,0.7456719971
70,Indonesia,2018,0.2086389923,0.7913610077
71,Indonesia,2019,0.1711578300918568,0.83984948736646
72,Lao PDR,1996,0.8564689192999999,0.1435310806999999
73,Lao PDR,1997,0.8591645633999999,0.1408354366
74,Lao PDR,1998,0.8622817827999999,0.1377182172
75,Lao PDR,1999,0.8654876962,0.1345123038
76,Lao PDR,2000,0.815401001,0.1845989989999999
77,Lao PDR,2001,0.8108650208,0.1891349792
78,Lao PDR,2002,0.8019080353,0.1980919647
79,Lao PDR,2003,0.7873619843,0.2126380157
80,Lao PDR,2004,0.7397869873,0.2602130126999999
81,Lao PDR,2005,0.7392549896,0.2607450104
82,Lao PDR,2006,0.6980509949,0.3019490051
83,Lao PDR,2007,0.7067469787999999,0.2932530212
84,Lao PDR,2008,0.6926550293,0.3073449707
85,Lao PDR,2009,0.6645030212,0.3354969787999999
86,Lao PDR,2010,0.6485389709,0.3514610291
87,Lao PDR,2011,0.6362810135,0.3637189865
88,Lao PDR,2012,0.6236069870000001,0.376393013
89,Lao PDR,2013,0.5856510162,0.4143489838
90,Lao PDR,2014,0.5825279999,0.4174720001
91,Lao PDR,2015,0.5390000153,0.4609999847
92,Lao PDR,2016,0.4954010009999999,0.504598999
93,Lao PDR,2017,0.4586289978,0.5413710022
94,Lao PDR,2018,0.4188410187,0.5811589813
95,Lao PDR,2019,0.3825048127945776,0.6238711718454389
96,Malaysia,1996,0.07473082671,0.9252691733
97,Malaysia,1997,0.06705587222,0.9329441278
98,Malaysia,1998,0.0716784032,0.9283215968
99,Malaysia,1999,0.07342714823,0.9265728518
100,Malaysia,2000,0.04444099903,0.955559001
101,Malaysia,2001,0.04261199951,0.9573880005
102,Malaysia,2002,0.03566200018,0.9643379998
103,Malaysia,2003,0.03326200008,0.9667379999
104,Malaysia,2004,0.0322110009199999,0.9677889991
105,Malaysia,2005,0.03006000042,0.9699399996
106,Malaysia,2006,0.03127899885,0.9687210011
107,Malaysia,2007,0.02845999956,0.9715400004
108,Malaysia,2008,0.0303900003399999,0.9696099997
109,Malaysia,2009,0.02265599966,0.9773440003
110,Malaysia,2010,0.0195539999,0.9804460001
111,Malaysia,2011,0.02163800001,0.978362
112,Malaysia,2012,0.02519799948,0.9748020005
113,Malaysia,2013,0.0274790000899999,0.9725209999
114,Malaysia,2014,0.03029999971,0.9697000003
